term_str,n,tfidf_mean,df,dfidf,p,i,max_pos,n_pos,stop
acted,36,0.001141049543833339,35,137.5048047034973,4.164589192196948e-05,14.55146628367448,VBD,5.0,0
action,87,0.0026306505761103586,71,206.48536683106906,0.00010064423881142625,13.278447789268064,NN,5.0,0
active,46,0.0012403217288468307,40,149.44254511487253,5.321419523362767e-05,14.19782932905978,JJ,3.0,0
actually,77,0.0017031790992348753,65,197.31555413249689,8.907593549976806e-05,13.454604744421891,RB,3.0,0
add,60,0.00162622615887962,54,178.3676279121682,6.940981986994914e-05,13.814500689508275,VB,6.0,0
addam,47,0.001446225324153865,19,91.39121997699621,5.4371025564793485e-05,14.166802433439155,NNP,1.0,0
added,235,0.004027012479151568,175,281.1866069121982,0.00027185512782396744,11.844874338551794,VBD,8.0,0
address,57,0.0014122108397825912,49,168.72081205355443,6.593932887645167e-05,13.888501270952052,NN,5.0,0
addressd,41,0.0008879231388834418,19,91.39121997699621,4.7430043577798574e-05,14.36383928049871,NN,7.0,0
addressed,66,0.0018639453643360744,55,180.2147605078984,7.635080185694404e-05,13.67699716575834,VBD,6.0,0
addressing,47,0.0016244932129138058,39,147.13099065198017,5.4371025564793485e-05,14.166802433439155,VBG,2.0,0
admiration,58,0.001801203044970023,50,170.70677664922255,6.709615920761749e-05,13.863410289989222,NN,3.0,0
admire,35,0.001036263213336037,31,127.21765778354131,4.048906159080366e-05,14.592108268171827,VB,4.0,0
admired,34,0.0012658914343407093,33,132.44872091222382,3.9332231259637846e-05,14.633928443866454,VBD,7.0,0
admit,85,0.0019145178741634351,70,205.00960940699463,9.83305781490946e-05,13.312000348979092,VB,5.0,0
admitted,145,0.0028520512057936794,115,254.43769225870207,0.00016774039801904374,12.541482195101858,NN,9.0,0
advance,48,0.0013382759347678262,41,151.7180284437848,5.552785589595931e-05,14.136428784395637,NN,6.0,0
advanced,81,0.0021127088201110845,64,195.71147025658726,9.370325682443133e-05,13.381541282232169,VBD,8.0,0
advantage,45,0.0012629942932164684,41,151.7180284437848,5.205736490246185e-05,14.229538188787119,NN,2.0,0
adventure,64,0.0019169488592494567,41,151.7180284437848,7.403714119461241e-05,13.721391285116793,NN,2.0,0
adventures,54,0.001816232860235722,36,139.97040196740707,6.246883788295422e-05,13.966503782953325,NNS,5.0,0
advice,89,0.0019100096022530999,62,192.43531556708263,0.00010295789947375788,13.245657854150396,NN,8.0,0
advise,35,0.0008935627701488573,32,129.85573512829362,4.048906159080366e-05,14.592108268171827,VB,4.0,0
adèle,126,0.004156963128586186,18,87.98520098370354,0.00014576062172689318,12.744111361616877,NNP,5.0,0
aegon,96,0.0019899486028825135,53,176.49377721438677,0.00011105571179191862,13.136428784395637,NNP,6.0,0
aemon,180,0.004615152950057712,46,162.5837692682995,0.0002082294596098474,12.229538188787119,NNP,4.0,0
aerys,126,0.00292164952880012,50,170.70677664922255,0.00014576062172689318,12.744111361616877,NNP,9.0,0
afar,46,0.0010700996953544922,40,149.44254511487253,5.321419523362767e-05,14.19782932905978,NN,8.0,0
affairs,45,0.001569312238443791,36,139.97040196740707,5.205736490246185e-05,14.229538188787119,NNS,6.0,0
affection,75,0.0023455345335620685,59,187.34557173044274,8.676227483743641e-05,13.492572594620912,NN,3.0,0
afford,37,0.0009308505424428351,33,132.44872091222382,4.28027222531353e-05,14.511937919487844,VB,5.0,0
afore,48,0.0015314299383807084,30,124.53303381451971,5.552785589595931e-05,14.136428784395637,IN,9.0,0
afraid,453,0.0062691708559512805,248,273.7412622683306,0.000524044140018116,10.898024045070558,JJ,12.0,0
afternoon,161,0.003471945381392032,117,255.95235937156522,0.00018624968331769684,12.390474407002177,NN,7.0,0
afterward,118,0.002469139949747311,87,227.50919574120894,0.00013650597907756664,12.838748235754952,RB,10.0,0
agamemnon,72,0.0019124663268768646,23,104.29188463414975,8.329178384393896e-05,13.55146628367448,NNP,4.0,0
age,335,0.00493977682911686,198,282.8697503305541,0.00038753816094054934,11.33337399977166,NN,10.0,0
aged,107,0.003101550611500831,48,166.70540265782495,0.00012378084543474262,12.979924298715646,NNP,5.0,0
aggo,55,0.0015560378273011776,16,80.92786756414681,6.362566821412004e-05,13.940031571592133,NNP,4.0,0
ago,378,0.005076842039759291,221,280.68970510427147,0.00043728186518067957,11.159148860895721,RB,9.0,0
agony,69,0.001869173845233109,58,185.60062220263302,7.982129285044151e-05,13.612866828338625,NN,4.0,0
agree,70,0.0015552220504719482,59,187.34557173044274,8.097812318160733e-05,13.592108268171827,VBP,5.0,0
agreeable,41,0.0014556408787839592,34,134.99798197130045,4.7430043577798574e-05,14.36383928049871,JJ,4.0,0
agreed,192,0.0034755141174840454,134,266.9149393283881,0.00022211142358383724,12.136428784395637,NN,10.0,0
ah,291,0.004563321932974395,168,279.8332823967098,0.0003366376263692533,11.53651594220851,NN,13.0,0
ahead,244,0.003842232732570574,123,260.2036977426521,0.0002822666008044598,11.790653947553906,RB,10.0,0
aid,185,0.0035831842427045076,90,230.95247637865512,0.0002140136112656765,12.19000982460048,NN,12.0,0
aim,37,0.0011033356831501562,30,124.53303381451971,4.28027222531353e-05,14.511937919487844,NN,7.0,0
aint,93,0.00248475544417288,42,153.95832059917745,0.00010758522079842115,13.182232474008762,VBP,11.0,0
air,829,0.009360051158822382,351,211.53524036156995,0.0009590123445364639,10.026162993621043,NN,11.0,0
ajax,161,0.0034090748651205583,23,104.29188463414975,0.00018624968331769684,12.390474407002177,NNP,3.0,0
alarm,66,0.0016660646593619672,57,183.83079738988275,7.635080185694404e-05,13.67699716575834,NN,4.0,0
alarmed,40,0.0010946180373507244,36,139.97040196740707,4.627321324663276e-05,14.399463190229431,VBN,7.0,0
alas,103,0.0021394571327627843,66,198.8974418244477,0.00011915352411007934,13.034890757933574,NN,9.0,0
alcinous,61,0.003026095084204767,6,38.83817533222812,7.056665020111496e-05,13.790653947553906,NNP,3.0,0
ale,120,0.0027060622382865324,56,182.03566083928803,0.00013881963973989828,12.814500689508275,NN,9.0,0
alike,115,0.0023140711399405,97,238.43365141548867,0.00013303548808406916,12.875901234172417,RB,8.0,0
alive,268,0.004274281349825368,191,282.78751289217456,0.00031003052875243944,11.655302094659021,JJ,12.0,0
alliance,35,0.0007992976597438892,25,110.35338832461127,4.048906159080366e-05,14.592108268171827,NN,2.0,0
alliser,113,0.003277202755667738,20,94.72127255743628,0.00013072182742173753,12.901212322701605,NNP,1.0,0
allow,111,0.0025365479550751874,87,227.50919574120894,0.0001284081667594059,12.926975418766688,VB,6.0,0
allowed,148,0.0028792893230038035,114,253.6615947797655,0.0001712108890125412,12.511937919487844,VBN,6.0,0
aloud,132,0.0025638121935318346,108,248.73525582433638,0.00015270160371388809,12.67699716575834,NN,9.0,0
altar,40,0.001215096743759604,29,121.80031110131651,4.627321324663276e-05,14.399463190229431,NN,5.0,0
altogether,69,0.001790668179508674,60,189.06606762903942,7.982129285044151e-05,13.612866828338625,RB,7.0,0
amazement,45,0.0012843472191861414,39,147.13099065198017,5.205736490246185e-05,14.229538188787119,NN,2.0,0
amiable,43,0.0013101707193493664,33,132.44872091222382,4.9743704240130216e-05,14.295126530414695,JJ,3.0,0
amid,66,0.0013964449656946889,45,160.47623818932755,7.635080185694404e-05,13.67699716575834,IN,2.0,0
amidst,151,0.0026408069514394124,95,236.37293087068167,0.00017468138000603864,12.482986545791714,IN,13.0,0
amory,52,0.0015377071487935813,18,87.98520098370354,6.0155177220622586e-05,14.0209515669757,NNP,1.0,0
ample,83,0.0017183938159880986,39,147.13099065198017,9.601691748676297e-05,13.346351853769868,JJ,2.0,0
amused,39,0.0010419066584460225,36,139.97040196740707,4.511638291546694e-05,14.435989066254544,VBN,7.0,0
amusement,40,0.0013040021307404214,33,132.44872091222382,4.627321324663276e-05,14.399463190229431,NN,4.0,0
ancient,174,0.002729626652236339,116,255.20124440526604,0.0002012884776228525,12.278447789268064,JJ,5.0,0
anger,157,0.0028151955269913433,125,261.5259297621361,0.00018162236199303357,12.426770536225167,NN,9.0,0
angrily,53,0.0013569513174936688,48,166.70540265782495,6.13120075517884e-05,13.993470830553594,NN,7.0,0
angry,303,0.004446310010404785,203,282.7091285315219,0.00035051959034324313,11.478217301643841,JJ,10.0,0
anguish,61,0.0016390820073587445,44,158.33664458136266,7.056665020111496e-05,13.790653947553906,NN,5.0,0
anguy,58,0.0019410707394863884,9,52.99260049185177,6.709615920761749e-05,13.863410289989222,NNP,5.0,0
animal,74,0.001730435435347484,65,197.31555413249689,8.56054445062706e-05,13.511937919487844,NN,4.0,0
animals,55,0.001406011473392625,44,158.33664458136266,6.362566821412004e-05,13.940031571592133,NNS,7.0,0
announced,125,0.002578086084923695,101,242.37780424074552,0.00014460379139572736,12.755607000454706,VBD,8.0,0
answer,560,0.007057831300207753,291,254.07686653660957,0.0006478249854528586,10.592108268171827,NN,11.0,0
answered,813,0.010319559473538653,296,251.1673537105469,0.0009405030592378108,10.054279743041766,VBD,11.0,0
answering,37,0.0011464794095800914,34,134.99798197130045,4.28027222531353e-05,14.511937919487844,VBG,5.0,0
answers,47,0.001294707473374397,44,158.33664458136266,5.4371025564793485e-05,14.166802433439155,NNS,6.0,0
antinous,58,0.0020244569906634896,10,57.36063627871814,6.709615920761749e-05,13.863410289989222,NNP,5.0,0
anxiety,45,0.0013948433612813633,40,149.44254511487253,5.205736490246185e-05,14.229538188787119,NN,3.0,0
anxious,165,0.0033426736784102663,130,264.63110826499377,0.00019087700464236011,12.355069070870977,JJ,10.0,0
anxiously,68,0.001604433540573504,56,182.03566083928803,7.866446251927569e-05,13.633928443866454,RB,9.0,0
anybody,76,0.002088315091975292,57,183.83079738988275,8.791910516860223e-05,13.473463771673208,NN,4.0,0
apart,166,0.0029986119604280726,134,266.9149393283881,0.00019203383497352593,12.346351853769868,RB,12.0,0
apartment,61,0.0019255497867729755,47,164.65993494083233,7.056665020111496e-05,13.790653947553906,NN,3.0,0
apollo,72,0.0016433884183795562,31,127.21765778354131,8.329178384393896e-05,13.55146628367448,NNP,3.0,0
apparently,55,0.001777549075916022,46,162.5837692682995,6.362566821412004e-05,13.940031571592133,RB,6.0,0
appear,132,0.0024969251100911563,90,230.95247637865512,0.00015270160371388809,12.67699716575834,VB,9.0,0
appearance,151,0.0037135979953649575,107,247.8681467903091,0.00017468138000603864,12.482986545791714,NN,6.0,0
appeared,338,0.005412930426376801,207,282.45248640878907,0.00039100865193404677,11.32051184883461,VBD,9.0,0
appears,66,0.0015215880788352202,43,156.16425962645437,7.635080185694404e-05,13.67699716575834,VBZ,9.0,0
apple,59,0.0014700635845150804,45,160.47623818932755,6.825298953878332e-05,13.838748235754952,NN,3.0,0
apples,54,0.0014887855266681967,43,156.16425962645437,6.246883788295422e-05,13.966503782953325,NNS,6.0,0
approach,102,0.002332973693805243,83,222.68504018721683,0.00011799669377891352,13.048965943145298,NN,8.0,0
approached,100,0.002300279639401661,80,218.88509022974506,0.00011568303311658189,13.077535095342068,VBD,7.0,0
approaching,68,0.0016012599027120302,56,182.03566083928803,7.866446251927569e-05,13.633928443866454,VBG,6.0,0
approved,34,0.0010761967583445505,30,124.53303381451971,3.9332231259637846e-05,14.633928443866454,VBD,9.0,0
apron,39,0.0011265900062860084,32,129.85573512829362,4.511638291546694e-05,14.435989066254544,NN,6.0,0
aragorn,200,0.003759422069474826,13,69.64817606003508,0.00023136606623316378,12.077535095342068,NNP,3.0,0
arakh,48,0.001347815595246489,17,84.49899098565022,5.552785589595931e-05,14.136428784395637,NN,5.0,0
arbor,37,0.000938017404253445,28,119.01783041964401,4.28027222531353e-05,14.511937919487844,NNP,2.0,0
arch,60,0.0013510558622513932,35,137.5048047034973,6.940981986994914e-05,13.814500689508275,NN,5.0,0
arched,38,0.0010470036897224765,29,121.80031110131651,4.3959552584301115e-05,14.473463771673208,JJ,4.0,0
archer,49,0.00124643151154402,27,116.1838139560841,5.668468622712513e-05,14.106681441001585,NN,6.0,0
archers,97,0.002496150036245344,47,164.65993494083233,0.00011221254212308444,13.121478442929666,NNS,4.0,0
ardour,36,0.0009430991395308508,21,97.97916029958873,4.164589192196948e-05,14.55146628367448,NN,4.0,0
arent,38,0.0010499829800956907,34,134.99798197130045,4.3959552584301115e-05,14.473463771673208,NN,7.0,0
argos,38,0.0010129477937659201,18,87.98520098370354,4.3959552584301115e-05,14.473463771673208,NNP,2.0,0
argument,47,0.0010454917295786793,47,164.65993494083233,5.4371025564793485e-05,14.166802433439155,NN,2.0,0
arise,41,0.0008764275576489021,26,113.29635212007018,4.7430043577798574e-05,14.36383928049871,VBP,8.0,0
arm,824,0.008914623940719676,325,231.95113982409165,0.0009532281928806347,10.034890757933574,NN,10.0,0
armed,75,0.0016619078086772114,62,192.43531556708263,8.676227483743641e-05,13.492572594620912,VBN,7.0,0
armies,86,0.0017343097802693828,46,162.5837692682995,9.948740848026043e-05,13.295126530414695,NNS,8.0,0
armor,273,0.0053487184304838,120,258.13213525807885,0.00031581468040826855,11.62863414419694,NN,10.0,0
armored,56,0.0015635846573201415,43,156.16425962645437,6.478249854528586e-05,13.91403636305919,JJ,5.0,0
armorer,37,0.0012054987300884833,16,80.92786756414681,4.28027222531353e-05,14.511937919487844,NN,2.0,0
armory,54,0.0013786130848917285,32,129.85573512829362,6.246883788295422e-05,13.966503782953325,NN,3.0,0
armour,84,0.001994804306698039,29,121.80031110131651,9.717374781792878e-05,13.329073862338033,NN,7.0,0
arms,1132,0.010913703673479715,351,211.53524036156995,0.001309531934879707,9.57673304228491,NNS,11.0,0
army,149,0.002851446246304384,88,228.67328916272533,0.000172367719343707,12.502222764654631,NN,5.0,0
arose,47,0.001456881019962364,42,153.95832059917745,5.4371025564793485e-05,14.166802433439155,NN,9.0,0
arranged,47,0.0013314674994940338,43,156.16425962645437,5.4371025564793485e-05,14.166802433439155,VBN,9.0,0
arrangements,39,0.0011831972167557119,36,139.97040196740707,4.511638291546694e-05,14.435989066254544,NNS,4.0,0
arrival,59,0.0017001061054548864,51,172.6638854201717,6.825298953878332e-05,13.838748235754952,NN,4.0,0
arrived,154,0.0027133173025805793,125,261.5259297621361,0.00017815187099953612,12.454604744421891,VBD,10.0,0
arrow,218,0.004161128189867905,93,234.25146078355644,0.0002521890121941485,11.953206960339866,NN,7.0,0
arrows,214,0.004256692387721763,104,245.18540848028073,0.00024756169086948525,11.979924298715646,NNS,11.0,0
arryn,183,0.004058043436073892,60,189.06606762903942,0.00021169995060334485,12.20569144683275,NNP,1.0,0
arryns,49,0.0012999316808023787,25,110.35338832461127,5.668468622712513e-05,14.106681441001585,NNP,1.0,0
arstan,59,0.001410521310901121,7,43.754457604911,6.825298953878332e-05,13.838748235754952,NNP,2.0,0
art,125,0.0023777758050038057,50,170.70677664922255,0.00014460379139572736,12.755607000454706,NN,14.0,0
artful,39,0.0010901167093137786,23,104.29188463414975,4.511638291546694e-05,14.435989066254544,JJ,3.0,0
arts,42,0.0008984134864934943,30,124.53303381451971,4.858687390896439e-05,14.329073862338033,NNS,3.0,0
arya,1324,0.029166310124161092,89,229.82098796955722,0.0015316433584635443,9.350703878309576,NNP,8.0,0
arya said,67,0.002072121820378054,28,119.01783041964401,7.750763218810986e-05,13.655302094659021,,,0
arya thought,58,0.0019095882584039844,26,113.29635212007018,6.709615920761749e-05,13.863410289989222,,,0
aryas,43,0.001349250288974416,29,121.80031110131651,4.9743704240130216e-05,14.295126530414695,NNP,1.0,0
ascend,35,0.0008727652951698766,30,124.53303381451971,4.048906159080366e-05,14.592108268171827,VB,7.0,0
ash,51,0.0013966837718242758,41,151.7180284437848,5.899834688945676e-05,14.048965943145298,NN,4.0,0
asha,44,0.0016342724746000099,6,38.83817533222812,5.090053457129603e-05,14.261959666479497,NNP,4.0,0
ashamed,78,0.0020885180184529594,67,200.45746966419404,9.023276583093388e-05,13.435989066254544,VBN,10.0,0
ashes,95,0.0021500770352718187,75,212.18797741974714,0.0001098988814607528,13.151535676785846,NNS,6.0,0
ashore,52,0.0015402031201962336,31,127.21765778354131,6.0155177220622586e-05,14.0209515669757,RB,6.0,0
aside,329,0.0045556950994449985,217,281.3275863982891,0.00038059717895355444,11.359447511381552,RB,8.0,0
ask,597,0.0072605084594297,292,253.50481185271434,0.0006906277077059939,10.499804163851987,VB,10.0,0
asked,1626,0.015509057941792581,424,139.9502177150941,0.0018810061184756216,9.054279743041766,VBD,11.0,0
asked frodo,41,0.0007206657543604195,11,61.58416114534066,4.7430043577798574e-05,14.36383928049871,,,0
asking,101,0.002231784013801007,82,221.43605688756955,0.0001168398634477477,13.063179802365,VBG,5.0,0
asks,49,0.0014152631673274218,41,151.7180284437848,5.668468622712513e-05,14.106681441001585,VBZ,7.0,0
asleep,238,0.004490153381197013,152,275.12975981596975,0.0002753256188174649,11.82657352180885,RB,11.0,0
aspect,62,0.0017655970971125774,54,178.3676279121682,7.172348053228077e-05,13.767194974729918,NN,4.0,0
assembled,50,0.0011697598568256205,41,151.7180284437848,5.7841516558290944e-05,14.077535095342068,JJ,10.0,0
assembly,39,0.0011859393582324513,21,97.97916029958873,4.511638291546694e-05,14.435989066254544,NN,6.0,0
asshai,43,0.001173632700899022,22,101.16832229068132,4.9743704240130216e-05,14.295126530414695,NNP,3.0,0
assistance,47,0.0014480555746347354,39,147.13099065198017,5.4371025564793485e-05,14.166802433439155,NN,7.0,0
assumed,37,0.0011303922306298078,34,134.99798197130045,4.28027222531353e-05,14.511937919487844,VBD,5.0,0
assure,41,0.0012691537237679454,39,147.13099065198017,4.7430043577798574e-05,14.36383928049871,VBP,4.0,0
assured,65,0.0015834498815653242,61,190.7625174969737,7.519397152577823e-05,13.699023472088339,VBD,5.0,0
astapor,69,0.0016415571168295962,8,48.463933782073404,7.982129285044151e-05,13.612866828338625,NNP,3.0,0
astonished,46,0.0013251868586896976,45,160.47623818932755,5.321419523362767e-05,14.19782932905978,JJ,6.0,0
astonishment,55,0.001432158039513754,47,164.65993494083233,6.362566821412004e-05,13.940031571592133,NN,2.0,0
ate,138,0.0026947920656973305,111,251.25692006140673,0.00015964258570088302,12.612866828338625,VBP,7.0,0
atop,128,0.0026281412808299466,83,222.68504018721683,0.00014807428238922482,12.721391285116793,IN,11.0,0
atrides,91,0.0020268242594974027,16,80.92786756414681,0.00010527156013608952,13.213596644918097,NNP,4.0,0
attached,35,0.0012758346809373482,30,124.53303381451971,4.048906159080366e-05,14.592108268171827,VBN,4.0,0
attack,129,0.002507235560900675,102,243.3277708403434,0.00014923111272039063,12.710164029693539,NN,6.0,0
attacked,47,0.0012698371845533015,40,149.44254511487253,5.4371025564793485e-05,14.166802433439155,VBD,8.0,0
attempt,99,0.002320008366783129,75,212.18797741974714,0.00011452620278541607,13.092034665037184,NN,5.0,0
attempted,35,0.0014421058095934408,31,127.21765778354131,4.048906159080366e-05,14.592108268171827,VBD,3.0,0
attend,127,0.0024503692401129555,78,216.26198130396034,0.000146917452058059,12.732706598344627,VB,9.0,0
attended,44,0.0013886606897980307,42,153.95832059917745,5.090053457129603e-05,14.261959666479497,VBN,3.0,0
attention,163,0.0033351829095766617,121,258.83454674363435,0.00018856334398002848,12.372663130885716,NN,6.0,0
audience,43,0.0013034241951175084,28,119.01783041964401,4.9743704240130216e-05,14.295126530414695,NN,3.0,0
aunt,110,0.0028626973444689304,35,137.5048047034973,0.00012725133642824008,12.940031571592133,NN,6.0,0
authority,41,0.0012551915701929232,38,144.78243995399242,4.7430043577798574e-05,14.36383928049871,NN,1.0,0
autumn,75,0.001798648276630941,58,185.60062220263302,8.676227483743641e-05,13.492572594620912,NN,5.0,0
avenge,39,0.001040565301979818,32,129.85573512829362,4.511638291546694e-05,14.435989066254544,VB,4.0,0
avoid,63,0.001749959899081073,58,185.60062220263302,7.288031086344659e-05,13.744111361616877,VB,4.0,0
awake,96,0.0023204408269934924,72,207.94080393481417,0.00011105571179191862,13.136428784395637,NN,12.0,0
awakened,40,0.0012143480767643012,37,142.39591921381836,4.627321324663276e-05,14.399463190229431,VBN,8.0,0
aware,111,0.002518639026543422,86,226.3285192529087,0.0001284081667594059,12.926975418766688,JJ,7.0,0
away,2352,0.018715835287574773,493,55.486107985963386,0.002720864938902006,8.52171894028043,RB,13.0,0
awe,37,0.0010568135455671411,32,129.85573512829362,4.28027222531353e-05,14.511937919487844,NN,6.0,0
awful,109,0.0021831423535696964,67,200.45746966419404,0.00012609450609707426,12.953206960339866,JJ,6.0,0
axe,216,0.003976801623604503,94,235.31986988166466,0.0002498753515318169,11.966503782953325,NN,9.0,0
axell,59,0.0014016135855852152,9,52.99260049185177,6.825298953878332e-05,13.838748235754952,NNP,4.0,0
axes,77,0.0019497438584289589,49,168.72081205355443,8.907593549976806e-05,13.454604744421891,NNS,10.0,0
ay,106,0.00331514333772427,39,147.13099065198017,0.0001226240151035768,12.993470830553594,NN,11.0,0
aye,149,0.0028735197216846254,81,220.16947930983864,0.000172367719343707,12.502222764654631,NN,8.0,0
babe,82,0.0018246698799059909,50,170.70677664922255,9.486008715559715e-05,13.36383928049871,NN,1.0,0
baby,140,0.002977630485811585,77,214.92279901894915,0.00016195624636321465,12.592108268171827,NN,7.0,0
backed,75,0.001821247014577104,59,187.34557173044274,8.676227483743641e-05,13.492572594620912,VBD,3.0,0
backs,61,0.0014889803043051464,49,168.72081205355443,7.056665020111496e-05,13.790653947553906,NNS,2.0,0
backward,91,0.0018053644901421496,71,206.48536683106906,0.00010527156013608952,13.213596644918097,NN,8.0,0
bacon,41,0.0011931320296096521,28,119.01783041964401,4.7430043577798574e-05,14.36383928049871,NN,3.0,0
bad,440,0.006672767835064062,251,272.6984903709093,0.0005090053457129603,10.940031571592133,JJ,13.0,0
bade,70,0.0017050140424080618,48,166.70540265782495,8.097812318160733e-05,13.592108268171827,VBD,5.0,0
badly,74,0.0019068507618859084,64,195.71147025658726,8.56054445062706e-05,13.511937919487844,RB,6.0,0
baelish,70,0.0020548179218485116,33,132.44872091222382,8.097812318160733e-05,13.592108268171827,NNP,2.0,0
baelor,48,0.0014433229995133683,27,116.1838139560841,5.552785589595931e-05,14.136428784395637,NNP,4.0,0
bag,118,0.0021161958224479426,52,174.59270424014036,0.00013650597907756664,12.838748235754952,NN,5.0,0
bag end,53,0.0008786033186832017,9,52.99260049185177,6.13120075517884e-05,13.993470830553594,,,0
baggins,63,0.0011857153201772978,10,57.36063627871814,7.288031086344659e-05,13.744111361616877,NNP,4.0,0
bailey,35,0.0010154205265592027,26,113.29635212007018,4.048906159080366e-05,14.592108268171827,NN,3.0,0
balance,39,0.0012571347771705484,34,134.99798197130045,4.511638291546694e-05,14.435989066254544,NN,3.0,0
bald,79,0.0017563100548895517,54,178.3676279121682,9.13895961620997e-05,13.41761053693969,NN,8.0,0
balls,43,0.0011236656026327163,36,139.97040196740707,4.9743704240130216e-05,14.295126530414695,NNS,4.0,0
balon,123,0.0028370616293896564,41,151.7180284437848,0.00014229013073339573,12.778876779777553,NNP,2.0,0
band,116,0.0022733442457493628,61,190.7625174969737,0.00013419231841523498,12.863410289989222,NN,6.0,0
bands,93,0.0019090267881238727,35,137.5048047034973,0.00010758522079842115,13.182232474008762,NN,8.0,0
bank,182,0.0035182415128676273,84,223.9166411983549,0.00021054312027217904,12.213596644918097,NN,5.0,0
banks,70,0.0015491393072771214,52,174.59270424014036,8.097812318160733e-05,13.592108268171827,NNS,3.0,0
banner,110,0.0022112342534839004,69,203.51324135268948,0.00012725133642824008,12.940031571592133,NN,4.0,0
bannermen,78,0.001789808019782148,49,168.72081205355443,9.023276583093388e-05,13.435989066254544,NNS,5.0,0
banners,166,0.003390655923512682,89,229.82098796955722,0.00019203383497352593,12.346351853769868,NNS,8.0,0
bar,69,0.0016204362000509503,56,182.03566083928803,7.982129285044151e-05,13.612866828338625,NN,4.0,0
baratheon,181,0.003944722335823166,86,226.3285192529087,0.00020938628994101322,12.221545398033587,NNP,4.0,0
bard,36,0.001041072678784913,22,101.16832229068132,4.164589192196948e-05,14.55146628367448,NN,3.0,0
bare,192,0.0032682625197552107,144,271.88160786962834,0.00022211142358383724,12.136428784395637,NN,11.0,0
bared,35,0.0009479298999382304,31,127.21765778354131,4.048906159080366e-05,14.592108268171827,VBD,4.0,0
bark,67,0.0016702408931159021,43,156.16425962645437,7.750763218810986e-05,13.655302094659021,NN,3.0,0
barking,39,0.0010524080075223422,33,132.44872091222382,4.511638291546694e-05,14.435989066254544,NN,5.0,0
barley,59,0.001839188628617228,34,134.99798197130045,6.825298953878332e-05,13.838748235754952,NN,6.0,0
barred,53,0.0014252723282214416,44,158.33664458136266,6.13120075517884e-05,13.993470830553594,VBD,6.0,0
barrel,35,0.0012590464645805754,24,107.35270132891247,4.048906159080366e-05,14.592108268171827,NN,1.0,0
barrels,44,0.0015057026088688011,22,101.16832229068132,5.090053457129603e-05,14.261959666479497,NNS,2.0,0
barristan,115,0.003226534111528242,34,134.99798197130045,0.00013303548808406916,12.875901234172417,NNP,2.0,0
barrow,43,0.0010709455888866643,21,97.97916029958873,4.9743704240130216e-05,14.295126530414695,NNP,2.0,0
bars,95,0.0024872157309242314,53,176.49377721438677,0.0001098988814607528,13.151535676785846,NNS,4.0,0
base,65,0.0017104898311178225,58,185.60062220263302,7.519397152577823e-05,13.699023472088339,NN,5.0,0
